Premise,conclusion
<objective-c>,<android>
<jquery>,<python>
<python>,<jquery>
<java>,<c++>
<c++>,<java>
<c#>,<c++>
<c++>,<c#>
<maven>,<spring>
<spring>,<maven>
<laravel>,<php>
<php>,<laravel>
<管理系统>,<mybatis>
<mybatis>,<管理系统>
<管理系统>,<shiro>
<shiro>,<管理系统>
<python>,<ubuntu>
<ubuntu>,<python>
<ios>,<c++>
<c++>,<ios>
<android>,<c++>
<c++>,<android>
<ios>,<cocoapods>
<cocoapods>,<ios>
<python>,<mysql>
<mysql>,<python>
<postgresql>,<java>
<java>,<postgresql>
<c#>,<unity3d>
<unity3d>,<c#>
<shell>,<bash>
<bash>,<shell>
<linux>,<bash>
<bash>,<linux>
<linux>,<shell>
<shell>,<linux>
<android>,<eclipse>
<eclipse>,<android>
<hadoop>,<java>
<java>,<hadoop>
<angularjs>,<java>
<java>,<angularjs>
<maven>,<mybatis>
<mybatis>,<maven>
<python>,<c++>
<c++>,<python>
<javascript>,<c++>
<c++>,<javascript>
<javascript>,<游戏>
<游戏>,<javascript>
<nodejs>,<javascript>
<javascript>,<nodejs>
<activerecord>,<ruby>
<ruby>,<activerecord>
<rest>,<java>
<java>,<rest>
<sql>,<mysql>
<mysql>,<sql>
<c#>,<mysql>
<mysql>,<c#>
<oracle>,<mysql>
<mysql>,<oracle>
<c#>,<sql>
<sql>,<c#>
<sql>,<postgresql>
<postgresql>,<sql>
<ajax>,<php>
<php>,<ajax>
<javascript>,<ajax>
<ajax>,<javascript>
<objective-c>,<xcode>
<xcode>,<objective-c>
<javascript>,<mysql>
<mysql>,<javascript>
<java>,<database>
<database>,<java>
<python>,<flask>
<flask>,<python>
<android>,<gradle>
<gradle>,<android>
<android>,<image>
<image>,<android>
<npm>,<javascript>
<javascript>,<npm>
<css>,<java>
<java>,<css>
<jquery>,<json>
<json>,<jquery>
<gradle>,<java>
<java>,<gradle>
<android>,<javascript>
<javascript>,<android>
<firefox>,<javascript>
<javascript>,<firefox>
<linux>,<mysql>
<mysql>,<linux>
<javascript>,<css3>
<css3>,<javascript>
<python>,<json>
<json>,<python>
<php>,<nginx>
<nginx>,<php>
<php>,<c++>
<c++>,<php>
<cordova>,<ios>
<ios>,<cordova>
<android>,<cordova>
<cordova>,<android>
<jquery>,<mysql>
<mysql>,<jquery>
<docker>,<java>
<java>,<docker>
<dubbo>,<spring>
<spring>,<dubbo>
<cmake>,<c++>
<c++>,<cmake>
<activemq>,<java>
<java>,<activemq>
<git>,<javascript>
<javascript>,<git>
<linux>,<ubuntu>
<ubuntu>,<linux>
<python>,<scrapy>
<scrapy>,<python>
<jquery>,<java>
<java>,<jquery>
<javascript>,<image>
<image>,<javascript>
<javascript>,<requirejs>
<requirejs>,<javascript>
<数据库>,<mybatis>
<mybatis>,<数据库>
<jquery>,<html>
<html>,<jquery>
<xml>,<javascript>
<javascript>,<xml>
<android>,<python>
<python>,<android>
<swift>,<iphone>
<iphone>,<swift>
<html>,<c++>
<c++>,<html>
<jquery>,<angularjs>
<angularjs>,<jquery>
<javascript>,<webpack>
<webpack>,<javascript>
<jquery>,<ajax>
<ajax>,<jquery>
<git>,<python>
<python>,<git>
<c++>,<c>
<c>,<c++>
<html>,<html5>
<html5>,<html>
<scala>,<java>
<java>,<scala>
<sql>,<database>
<database>,<sql>
<javascript>,<sql>
<sql>,<javascript>
<数据库>,<redis>
<redis>,<数据库>
<python>,<mongodb>
<mongodb>,<python>
<python>,<pip>
<pip>,<python>
<javascript>,<php>
<php>,<javascript>
<gcc>,<c++>
<c++>,<gcc>
<javascript>,<ios>
<ios>,<javascript>
<javascript>,<cordova>
<cordova>,<javascript>
<jquery>,<ios>
<ios>,<jquery>
<jquery>,<android>
<android>,<jquery>
<python>,<opencv>
<opencv>,<python>
<swift>,<ios>
<ios>,<swift>
<swift>,<objective-c>
<objective-c>,<swift>
<java>,<opencv>
<opencv>,<java>
<opencv>,<c++>
<c++>,<opencv>
<android>,<html>
<html>,<android>
<java>,<selenium>
<selenium>,<java>
<css>,<css3>
<css3>,<css>
<jquery>,<html5>
<html5>,<jquery>
<c#>,<ios>
<ios>,<c#>
<angularjs>,<html>
<html>,<angularjs>
<大数据>,<java>
<java>,<大数据>
<redis>,<shiro>
<shiro>,<redis>
<git>,<java>
<java>,<git>
<php>,<json>
<json>,<php>
<android>,<swift>
<swift>,<android>
<ios>,<xcode>
<xcode>,<ios>
<python>,<c>
<c>,<python>
<node.js>,<java>
<java>,<node.js>
<python>,<node.js>
<node.js>,<python>
<swift>,<java>
<java>,<swift>
<angularjs>,<php>
<php>,<angularjs>
<angularjs>,<css>
<css>,<angularjs>
<javascript>,<facebook>
<facebook>,<javascript>
<javascript>,<react>
<react>,<javascript>
<python>,<numpy>
<numpy>,<python>
<java>,<mybatis-plus>
<mybatis-plus>,<java>
<jenkins>,<java>
<java>,<jenkins>
<curl>,<php>
<php>,<curl>
<javascript>,<wordpress>
<wordpress>,<javascript>
<swagger>,<java>
<java>,<swagger>
<dubbo>,<redis>
<redis>,<dubbo>
<npm>,<node.js>
<node.js>,<npm>
<python>,<qt>
<qt>,<python>
<javascript>,<swift>
<swift>,<javascript>
<android>,<c#>
<c#>,<android>
<html>,<mysql>
<mysql>,<html>
<python>,<sql>
<sql>,<python>
<python>,<algorithm>
<algorithm>,<python>
<javascript>,<vue.js>
<vue.js>,<javascript>
<javascript>,<bash>
<bash>,<javascript>
<mongodb>,<mongoose>
<mongoose>,<mongodb>
<android>,<facebook>
<facebook>,<android>
<android>,<opencv>
<opencv>,<android>
<objective-c>,<java>
<java>,<objective-c>
<python>,<swift>
<swift>,<python>
<validation>,<javascript>
<javascript>,<validation>
<python>,<bash>
<bash>,<python>
<python>,<ios>
<ios>,<python>
<html>,<css3>
<css3>,<html>
<微信>,<微信小程序>
<微信小程序>,<微信>
<linux>,<c#>
<c#>,<linux>
<html>,<ios>
<ios>,<html>
<javascript>,<微信小程序>
<微信小程序>,<javascript>
<node.js>,<php>
<php>,<node.js>
<javascript>,<c>
<c>,<javascript>
<javascript>,<reactjs>
<reactjs>,<javascript>
<javascript>,<three.js>
<three.js>,<javascript>
<php>,<image>
<image>,<php>
<android>,<mysql>
<mysql>,<android>
<javascript>,<typescript>
<typescript>,<javascript>
<java>,<junit>
<junit>,<java>
<android>,<css>
<css>,<android>
<c#>,<php>
<php>,<c#>
<r>,<javascript>
<javascript>,<r>
<r>,<c++>
<c++>,<r>
<php>,<magento>
<magento>,<php>
<javascript>,<django>
<django>,<javascript>
<html>,<wordpress>
<wordpress>,<html>
<python>,<r>
<r>,<python>
<regex>,<php>
<php>,<regex>
<matlab>,<java>
<java>,<matlab>
<javascript>,<regex>
<regex>,<javascript>
<python>,<regex>
<regex>,<python>
<javascript>,<ember.js>
<ember.js>,<javascript>
<r>,<php>
<php>,<r>
<jquery>,<wordpress>
<wordpress>,<jquery>
<swift>,<xcode>
<xcode>,<swift>
<php>,<database>
<database>,<php>
<r>,<java>
<java>,<r>
<r>,<c#>
<c#>,<r>
<javascript>,<ruby>
<ruby>,<javascript>
<matlab>,<c++>
<c++>,<matlab>
<python>,<matlab>
<matlab>,<python>
<css>,<ios>
<ios>,<css>
<regex>,<java>
<java>,<regex>
<r>,<matlab>
<matlab>,<r>
<android>,<r>
<r>,<android>
<node.js>,<mongoose>
<mongoose>,<node.js>
<node.js>,<socket.io>
<socket.io>,<node.js>
<javascript>,<algorithm>
<algorithm>,<javascript>
<iphone> <objective-c>,<ios>
<ios> <objective-c>,<iphone>
<ios> <iphone>,<objective-c>
<objective-c> <app>,<ios>
<ios> <app>,<objective-c>
<ios> <objective-c>,<app>
<数据库> <管理系统>,<mysql>
<mysql> <管理系统>,<数据库>
<mysql> <数据库>,<管理系统>
<php> <python>,<java>
<java> <python>,<php>
